Name,Link,Price,Image URL,Gender Tag,Category Tag
Nike Dri-FIT ADV Rise,https://www.nike.com/ph/t/dri-fit-adv-rise-structured-swooshflex-cap-kcTlKG/FB5633-010,₱907,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/c74ac236-14c7-49ed-9ec5-d633e50ddb9e/U+NK+DFADV+RISE+CAP+S+AB+SF+P.png,N/A,N/A
Nike Air Max Moto 2K,https://www.nike.com/ph/t/air-max-moto-2k-shoes-qC72G4Zu/IO9279-200,"₱5,836",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/81fe1d9a-cdb4-42ce-b2b2-7af6dccc8469/NIKE+AIR+MAX+MOTO+2K.png,N/A,N/A
Nike Air Force 1 '07 LV8,https://www.nike.com/ph/t/air-force-1-07-lv8-shoes-yRQ4h9Fb/IM6001-475,"₱6,076",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/8d776c04-a43f-4bb4-8b65-088669a7f8e5/NIKE+AIR+FORCE+1+%2707+LV8.png,N/A,N/A
Air Jordan 4 Retro 'Rare Air',https://www.nike.com/ph/t/air-jordan-4-retro-rare-air-shoes-jG6CSt/FV5029-003,"₱10,256","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/540653a2-a2aa-4e3a-8c33-6451f258946c/AIR+JORDAN+4+RETRO.png",N/A,N/A
Nike Mercurial Superfly 10 Elite x Air Max 95 SE,https://www.nike.com/ph/t/mercurial-superfly-10-elite-air-max-95-se-high-top-football-boot-cnkFbV/HV9916-001,"₱12,317",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/d228fdf9-d63a-4d4d-9f6c-1613e021eec6/ZM+SUPERFLY+10+ELT+AM+95+SE+FG.png,N/A,N/A
Nike Terra Manta,https://www.nike.com/ph/t/terra-manta-shoes-fmnNMv/HQ4502-001,"₱2,877",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/8b65395a-f762-4bb5-b911-81a84ea4715b/NIKE+TERRA+MANTA.png,N/A,N/A
Nike Cortez SE,https://www.nike.com/ph/t/cortez-se-shoes-L272Ml/HQ3490-099,"₱3,847",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/b28ec80a-e46e-4e2e-9a5e-3137cbb48160/NIKE+CORTEZ+SE.png,N/A,N/A
Jordan Franchise,https://www.nike.com/ph/t/jordan-franchise-slides-lXc9nK/HF3263-001,"₱1,895","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/9d61194f-36de-48ea-b2b7-60b51e52b6e2/JORDAN+FRANCHISE+SLIDE.png",N/A,N/A
Nike Court Vision Low,https://www.nike.com/ph/t/court-vision-low-shoes-bv8p57/CD5463-105,"₱1,922",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/3ff1c296-53f3-472f-9f06-c27b6c666d7b/NIKE+COURT+VISION+LO.png,N/A,N/A
Nike Air Force 1 '07,https://www.nike.com/ph/t/air-force-1-07-shoes-WrLlWX/CW2288-111,"₱5,895",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/4f37fca8-6bce-43e7-ad07-f57ae3c13142/AIR+FORCE+1+%2707.png,N/A,N/A
LeBron XXIII 'Point Forward' EP,https://www.nike.com/ph/t/lebron-xxiii-point-forward-ep-basketball-shoes-grWWLlLR/IB9563-101,"₱11,495",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/81561a39-7164-4274-b067-e2ad649e2f43/LEBRON+XXIII+EP.png,N/A,N/A
Nike Vomero 18 GORE-TEX,https://www.nike.com/ph/t/vomero-18-gore-tex-waterproof-road-running-shoes-with-reflective-design-accents-tk4cS87v/HQ7002-300,"₱9,995",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/93fe93a2-5f79-44f7-9823-c2e5cdb861ec/W+NIKE+VOMERO+18+GTX.png,N/A,N/A
Nike P-6000,https://www.nike.com/ph/t/p-6000-shoes-QcQbpx/CD6404-107,"₱4,995",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/7755255b-fe67-424e-a09d-8bac2da97154/NIKE+P-6000.png,N/A,N/A
